nb_new_signs,time
84081,1631379309.2436445
84084,1631379327.946156
84087,1631379389.1164277
84091,1631379512.9293427
84123,1631380141.2369342
84123,1631380153.5518835
84123,1631380166.5791852
84129,1631380197.5007393
84133,1631380258.7960591
84133,1631380281.2419963
84134,1631380319.808067
84134,1631380320.2243102
84138,1631380380.835169
84138,1631380381.0515466
84138,1631380436.2634404
84140,1631380441.5304594
84140,1631380442.0576508
84140,1631380442.1520996
84143,1631380506.3572738
84143,1631380557.2234378
84144,1631380563.4426389
84144,1631380563.5888858
84149,1631380625.189903
84151,1631380685.7444813
84157,1631380746.6019788
84159,1631380808.0749035
84161,1631380868.4358037
84165,1631380930.099162
84167,1631380990.6340199
84169,1631381051.534481
84171,1631381112.6019511
84173,1631381174.157096
84174,1631381234.9035895
84176,1631381295.4358912
84178,1631381357.1833117
84179,1631381418.041198
84181,1631381480.0212986
84183,1631381540.5665162
84185,1631381601.3585453
84186,1631381662.3344958
84189,1631381723.3103323
84191,1631381785.0355525
84193,1631381845.6205125
84196,1631381906.4760213
84198,1631381967.4845927
84204,1631382028.4935453
84206,1631382089.3949723
84209,1631382151.0554593
84210,1631382211.7826838
84213,1631382335.0876925
84215,1631382395.735797
84218,1631382456.8092575
84219,1631382517.4891486
84223,1631382578.669946
84224,1631382639.5089247
84226,1631382701.0256753
84229,1631382761.927996
84234,1631382823.7438
84238,1631382945.59134
84241,1631383006.4715958
84244,1631383067.920819
84246,1631383128.5745983
84249,1631383190.1944182
84261,1631383311.3822613
84265,1631383373.0498657
84268,1631383434.8375022
84271,1631383495.4864087
84272,1631383556.4908493
84273,1631383617.3626094
84275,1631383678.5945475
84279,1631383739.4898868
84282,1631383801.0385864
84283,1631383923.174363
84284,1631383983.4082458
84285,1631384105.73206
84287,1631384228.229869
84289,1631384410.438803
84290,1631384471.9365997
84294,1631384532.8016088
84295,1631384593.7408226
84297,1631384654.6143663
84300,1631384715.6726246
84301,1631384776.3864646
84302,1631384838.044699
84303,1631384899.7534282
84304,1631385021.3078673
84305,1631385143.5102112
84306,1631385205.0248916
84309,1631385265.4350994
84310,1631385326.8675478
84312,1631385387.4249392
84316,1631385448.82503
84318,1631385510.4707599
84322,1631385570.7195263
84326,1631385632.1040335
84327,1631385692.5736837
84329,1631385814.6043253
84333,1631385937.1082022
84335,1631386058.9160998
84338,1631386119.6755373
84341,1631386180.3752446
84344,1631386241.5395787
84345,1631386363.7550652
84347,1631386425.1248653
84352,1631386485.4383445
84356,1631386546.9311008
84357,1631386607.3391085
84362,1631386668.7237139
84363,1631386729.3538435
84364,1631386791.040728
84368,1631386851.699286
84372,1631386912.493192
84377,1631386973.9548106
84380,1631387034.4776425
84386,1631387095.4431422
84387,1631387156.8351388
84394,1631387218.127454
84397,1631387279.136484
84400,1631387339.5593424
84408,1631387400.4006338
84412,1631387462.0877573
84417,1631387522.6392212
84421,1631387583.587436
84425,1631387644.5567417
84429,1631387706.1355946
84430,1631387766.800971
84433,1631387827.7650738
84437,1631387888.4385288
84442,1631387949.3512404
84449,1631388010.9022758
84454,1631388071.926423
84463,1631388132.5446587
84468,1631388194.0668874
84472,1631388254.6515832
84475,1631388315.4726107
84478,1631388376.939848
84485,1631388437.4609036
84490,1631388498.8666155
84496,1631388559.5156455
84500,1631388620.384779
84503,1631388681.4069018
84510,1631388742.8656075
84515,1631388803.7074091
84517,1631388864.3738177
84518,1631388865.5807846
84524,1631388925.8082337
84525,1631388986.6411598
84531,1631389048.034407
84536,1631389108.7663538
84539,1631389169.6666799
84543,1631389230.4088712
84546,1631389291.9585469
84548,1631389352.5142195
84549,1631389414.1644971
84554,1631389474.6465268
84556,1631389535.4404447
84561,1631389596.9368007
84562,1631389657.4885118
84564,1631389719.1452754
84570,1631389779.9236462
84576,1631389840.4252512
84579,1631389901.8439
84580,1631389962.5591714
84584,1631390023.296732
84585,1631390085.2052407
84590,1631390145.939185
84594,1631390206.3809214
84600,1631390267.9954488
84603,1631390328.5501952
84608,1631390390.155277
84610,1631390450.5167992
84618,1631390511.4076893
84624,1631390572.4807508
84627,1631390634.05154
84630,1631390694.5665693
84631,1631390755.3501177
84638,1631390816.622722
84644,1631390877.477068
84646,1631390939.027997
84648,1631390999.598553
84650,1631391060.4458401
84654,1631391121.4877982
84658,1631391183.2027712
84661,1631391243.5664647
84664,1631391305.1905234
84669,1631391365.9286191
84671,1631391426.7901478
84676,1631391487.5776162
84680,1631391548.9593847
84684,1631391609.509273
84688,1631391670.2529655
84692,1631391731.8121789
84697,1631391792.353469
84699,1631391853.9358299
84702,1631391914.7230742
84705,1631391976.161351
84706,1631392036.5480669
84710,1631392098.0371318
84715,1631392158.626497
84716,1631392220.0801723
84721,1631392280.7931008
84724,1631392341.351739
84730,1631392402.806603
84731,1631392463.2693217
84734,1631392524.8287358
84737,1631392586.0167742
84738,1631392647.0397122
84743,1631392707.437757
84745,1631392768.9783883
84747,1631392829.4148066
84750,1631392891.2120278
84752,1631392951.7464538
84756,1631393012.469079
84757,1631393073.8214898
84761,1631393134.3840806
84765,1631393196.1738539
84769,1631393257.0415995
84772,1631393317.834207
84777,1631393378.5231404
84780,1631393440.1097145
84782,1631393501.4360874
84785,1631393563.027482
84791,1631393623.6052084
84794,1631393684.3535008
84799,1631393746.0837092
84802,1631393807.9927235
84804,1631393869.4520738
84807,1631393931.0211997
84812,1631393991.5881116
84818,1631394053.1435175
84823,1631394113.5251698
84824,1631394175.096036
84827,1631394235.6253479
84832,1631394296.4808846
84835,1631394357.9370506
84838,1631394419.6217992
84840,1631394480.3705723